record_id,dataset_type,aoi_id,aoi_name,corridor_id,corridor_name,period_start,period_end,scene_date,tile_id,weather_severity_score,eccc_temperature_mean_c,eccc_temperature_max_c,eccc_temperature_min_c,eccc_precip_total_mm,eccc_wind_gust_max_kmh,eccc_weather_stress_score,worldcover_tree_pct,worldcover_shrub_grass_pct,worldcover_built_pct,worldcover_bare_pct,sentinel2_ndvi_mean,sentinel2_ndmi_mean,sentinel2_ndvi_change,sentinel2_ndmi_change,cloud_filtered_pct,vegetation_exposure_score,vegetation_dryness_score,vegetation_change_score,canopy_exposure_score,public_outage_count,public_customers_affected,public_outage_history_score,tree_related_outage_count_proxy,weather_related_outage_count_proxy,terrain_access_score,transmission_buffer_width_m,area_hectares,intervention_type,intervention_applied,intervention_cost_level,intervention_lead_time_days,intervention_description,risk_score,risk_level,target_outage_impact_proxy,target_customer_impact_proxy,data_status,data_source_notes,synthetic_true_effect_pct,observed_outage_impact_proxy,post_intervention_outage_impact_proxy
SYN-CORR-007__2026-08-18__T10UEV__crew_pre_staging,synthetic,SYN-CORR-007,Synthetic corridor 007,SYN-CORR-007,Synthetic demo corridor 007,2026-08-01,2026-08-28,2026-08-18,T10UEV,24.91,4.84,7.3,4.63,57.0,17.64,14.95,13.96,8.28,16.62,2.61,0.3845,0.1948,-0.0526,0.0764,78.52,31.25,25.65,26.9,17.45,1482,287467,22.35,712,62,34.92,200,4849.1,crew_pre_staging,1,medium,1,Synthetic scenario: pre-staging crews and materials near the corridor ahead of severe weather.,27.3,Low,26.18,78478.49,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'crew_pre_staging' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,8.98,26.18,23.83
SYN-CORR-043__2026-08-10__T10UEV__asset_inspection,synthetic,SYN-CORR-043,Synthetic corridor 043,SYN-CORR-043,Synthetic demo corridor 043,2026-08-01,2026-08-28,2026-08-10,T10UEV,32.56,24.16,27.34,21.04,4.89,52.92,19.54,68.55,38.86,7.07,2.92,0.1316,0.3465,-0.0599,0.0942,79.78,85.72,6.69,23.68,85.69,4130,752520,13.84,960,1171,12.19,200,2880.5,asset_inspection,1,low,7,Synthetic scenario: targeted asset / structure inspection along the corridor.,42.73,Medium,39.92,321551.8,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'asset_inspection' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,5.57,39.92,37.7
SYN-CORR-006__2026-07-08__T10UEV__no_action,synthetic,SYN-CORR-006,Synthetic corridor 006,SYN-CORR-006,Synthetic demo corridor 006,2026-07-01,2026-07-28,2026-07-08,T10UEV,27.11,21.14,25.23,16.75,0.75,46.58,16.27,49.59,38.86,64.85,0.46,0.6582,-0.0096,0.1977,-0.0128,16.93,61.71,51.2,81.64,61.99,1357,234639,56.15,579,210,34.19,200,1622.0,no_action,0,none,0,"Baseline scenario with no planned vegetation patrol, trimming, staging, or inspection.",44.01,Medium,46.32,103264.62,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'no_action' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,0.0,46.32,46.32
SYN-CORR-005__2026-04-07__T10UEV__vegetation_patrol,synthetic,SYN-CORR-005,Synthetic corridor 005,SYN-CORR-005,Synthetic demo corridor 005,2026-04-01,2026-04-28,2026-04-07,T10UEV,36.97,23.56,26.82,21.82,11.82,59.43,22.18,22.99,32.78,34.53,4.56,0.6352,0.2503,0.0374,-0.0432,5.71,47.82,18.71,77.04,28.74,2713,285559,26.42,905,716,12.98,200,3384.8,vegetation_patrol,1,low,3,Synthetic scenario: scheduled vegetation patrol along the corridor before a weather window.,35.72,Low,35.46,102001.67,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'vegetation_patrol' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,2.57,35.46,34.55
SYN-CORR-022__2026-10-16__T10UDV__vegetation_trimming,synthetic,SYN-CORR-022,Synthetic corridor 022,SYN-CORR-022,Synthetic demo corridor 022,2026-10-01,2026-10-28,2026-10-16,T10UDV,31.4,3.42,5.35,3.19,55.55,31.04,18.84,55.1,0.72,28.16,5.35,0.1589,0.1234,0.1986,0.0953,62.09,49.99,34.58,18.22,68.88,422,71690,28.65,144,46,71.82,200,3900.6,vegetation_trimming,1,medium,14,Synthetic scenario: vegetation trimming / clearance work along the transmission corridor.,40.47,Medium,37.13,29012.94,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'vegetation_trimming' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,20.33,37.13,29.58
SYN-CORR-019__2026-05-24__T10UDV__crew_pre_staging,synthetic,SYN-CORR-019,Synthetic corridor 019,SYN-CORR-019,Synthetic demo corridor 019,2026-05-01,2026-05-28,2026-05-24,T10UDV,44.65,-3.5,1.32,-8.04,29.3,66.71,26.79,54.94,26.96,42.57,5.72,0.6292,0.0188,0.0129,0.0371,48.33,62.6,47.65,75.84,68.67,3248,497509,95.0,175,1521,40.24,200,4375.6,crew_pre_staging,1,medium,1,Synthetic scenario: pre-staging crews and materials near the corridor ahead of severe weather.,59.66,Medium,65.93,296813.87,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'crew_pre_staging' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,12.93,65.93,57.41
SYN-CORR-041__2026-05-23__T10UEV__asset_inspection,synthetic,SYN-CORR-041,Synthetic corridor 041,SYN-CORR-041,Synthetic demo corridor 041,2026-05-01,2026-05-28,2026-05-23,T10UEV,53.32,22.4,25.53,21.8,68.33,65.54,31.99,13.91,7.82,47.69,0.59,0.0927,0.1241,-0.0531,0.0735,70.32,24.4,34.49,31.46,17.39,2304,118704,76.01,592,857,78.58,200,4769.5,asset_inspection,1,low,7,Synthetic scenario: targeted asset / structure inspection along the corridor.,51.71,Medium,54.01,61381.84,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'asset_inspection' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,18.0,54.01,44.29
SYN-CORR-024__2026-12-15__T10UEV__no_action,synthetic,SYN-CORR-024,Synthetic corridor 024,SYN-CORR-024,Synthetic demo corridor 024,2026-12-01,2026-12-28,2026-12-15,T10UEV,28.29,1.08,5.46,-3.48,73.9,11.68,16.97,14.97,41.93,70.88,2.85,0.6598,-0.1014,-0.034,0.0139,12.44,40.64,62.68,81.96,18.71,1416,281945,45.6,14,286,39.49,200,525.2,no_action,0,none,0,"Baseline scenario with no planned vegetation patrol, trimming, staging, or inspection.",36.58,Low,37.79,103135.48,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'no_action' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,0.0,37.79,37.79
SYN-CORR-023__2026-10-22__T10UEV__vegetation_patrol,synthetic,SYN-CORR-023,Synthetic corridor 023,SYN-CORR-023,Synthetic demo corridor 023,2026-10-01,2026-10-28,2026-10-22,T10UEV,33.69,14.08,14.75,11.23,34.55,50.21,20.21,44.65,19.64,34.12,8.08,0.1173,-0.027,0.166,0.0453,2.77,53.56,53.38,26.54,55.81,4983,277722,22.52,2192,1004,77.93,200,1195.3,vegetation_patrol,1,low,3,Synthetic scenario: scheduled vegetation patrol along the corridor before a weather window.,41.84,Medium,37.14,116198.88,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'vegetation_patrol' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,2.28,37.14,36.29
SYN-CORR-047__2026-05-24__T10UDV__vegetation_trimming,synthetic,SYN-CORR-047,Synthetic corridor 047,SYN-CORR-047,Synthetic demo corridor 047,2026-05-01,2026-05-28,2026-05-24,T10UDV,50.38,-4.55,-4.21,-8.83,4.03,91.86,30.23,70.25,11.31,41.5,1.92,0.2522,-0.1113,-0.0901,0.0359,52.35,63.01,63.91,0.44,87.81,3541,367059,81.09,1108,1170,24.64,200,930.9,vegetation_trimming,1,medium,14,Synthetic scenario: vegetation trimming / clearance work along the transmission corridor.,57.74,Medium,62.9,211939.87,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'vegetation_trimming' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,24.47,62.9,47.51
SYN-CORR-005__2026-09-23__T10UEV__crew_pre_staging,synthetic,SYN-CORR-005,Synthetic corridor 005,SYN-CORR-005,Synthetic demo corridor 005,2026-09-01,2026-09-28,2026-09-23,T10UEV,49.91,29.04,29.74,26.28,48.56,61.63,29.95,23.11,36.46,31.15,1.98,0.0964,-0.1243,0.1534,0.0753,53.75,50.81,65.54,30.72,28.89,2483,361902,6.51,898,533,39.96,200,4850.3,crew_pre_staging,1,medium,1,Synthetic scenario: pre-staging crews and materials near the corridor ahead of severe weather.,40.51,Medium,35.44,146606.5,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'crew_pre_staging' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,13.98,35.44,30.49
SYN-CORR-012__2026-12-01__T10UDV__asset_inspection,synthetic,SYN-CORR-012,Synthetic corridor 012,SYN-CORR-012,Synthetic demo corridor 012,2026-12-01,2026-12-28,2026-12-01,T10UDV,57.72,21.69,23.51,18.26,32.93,95.21,34.63,32.58,4.24,50.02,3.42,0.3179,-0.0302,-0.0801,-0.0023,86.32,33.43,53.77,13.58,40.73,2346,136986,13.18,0,597,40.94,200,524.4,asset_inspection,1,low,7,Synthetic scenario: targeted asset / structure inspection along the corridor.,39.85,Low,35.79,54588.92,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'asset_inspection' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,8.97,35.79,32.58
SYN-CORR-013__2026-12-15__T10UDV__no_action,synthetic,SYN-CORR-013,Synthetic corridor 013,SYN-CORR-013,Synthetic demo corridor 013,2026-12-01,2026-12-28,2026-12-15,T10UDV,34.62,1.67,2.15,-1.53,76.55,24.69,20.77,26.56,36.26,53.09,6.12,0.2344,0.014,0.095,0.066,18.93,48.23,48.25,3.12,33.2,627,46088,44.5,229,102,24.65,200,4632.9,no_action,0,none,0,"Baseline scenario with no planned vegetation patrol, trimming, staging, or inspection.",39.68,Low,41.16,18287.72,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'no_action' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,0.0,41.16,41.16
SYN-CORR-041__2026-09-22__T10UEV__vegetation_patrol,synthetic,SYN-CORR-041,Synthetic corridor 041,SYN-CORR-041,Synthetic demo corridor 041,2026-09-01,2026-09-28,2026-09-22,T10UEV,28.98,-4.86,-0.4,-8.12,3.45,45.13,17.39,59.07,14.15,31.88,6.02,0.3458,-0.1369,0.0381,0.0019,56.18,59.75,67.11,19.16,73.84,4608,624756,68.93,786,20,84.52,200,4914.4,vegetation_patrol,1,low,3,Synthetic scenario: scheduled vegetation patrol along the corridor before a weather window.,51.76,Medium,52.7,323373.71,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'vegetation_patrol' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,7.62,52.7,48.68
SYN-CORR-035__2026-05-12__T10UEV__vegetation_trimming,synthetic,SYN-CORR-035,Synthetic corridor 035,SYN-CORR-035,Synthetic demo corridor 035,2026-05-01,2026-05-28,2026-05-12,T10UEV,32.5,-3.72,-0.08,-7.32,34.46,37.15,19.5,37.11,49.53,36.92,2.63,0.5447,0.0335,0.0869,0.0416,66.06,66.19,45.81,58.94,46.39,1991,158808,81.14,47,836,52.23,200,1112.3,vegetation_trimming,1,medium,14,Synthetic scenario: vegetation trimming / clearance work along the transmission corridor.,54.31,Medium,58.44,86248.62,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'vegetation_trimming' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,18.58,58.44,47.58
SYN-CORR-044__2026-03-16__T10UDV__crew_pre_staging,synthetic,SYN-CORR-044,Synthetic corridor 044,SYN-CORR-044,Synthetic demo corridor 044,2026-03-01,2026-03-28,2026-03-16,T10UDV,56.7,12.44,13.89,12.28,40.47,98.98,34.02,8.31,39.41,36.17,8.46,0.1541,0.099,-0.0903,0.0625,14.72,42.28,37.62,19.18,10.39,4225,462067,18.6,1431,729,54.7,200,3194.1,crew_pre_staging,1,medium,1,Synthetic scenario: pre-staging crews and materials near the corridor ahead of severe weather.,44.55,Medium,40.15,205850.85,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'crew_pre_staging' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,15.34,40.15,33.99
SYN-CORR-020__2026-11-07__T10UDV__asset_inspection,synthetic,SYN-CORR-020,Synthetic corridor 020,SYN-CORR-020,Synthetic demo corridor 020,2026-11-01,2026-11-28,2026-11-07,T10UDV,26.15,0.11,2.37,-2.06,45.2,21.6,15.69,45.0,9.77,57.17,9.08,0.3555,0.089,0.047,0.0728,48.55,43.0,38.88,21.1,56.25,819,79230,11.34,336,92,50.78,200,2084.4,asset_inspection,1,low,7,Synthetic scenario: targeted asset / structure inspection along the corridor.,30.71,Low,26.8,24331.53,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'asset_inspection' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,10.0,26.8,24.12
SYN-CORR-005__2026-01-18__T10UDV__no_action,synthetic,SYN-CORR-005,Synthetic corridor 005,SYN-CORR-005,Synthetic demo corridor 005,2026-01-01,2026-01-28,2026-01-18,T10UDV,22.12,0.85,5.02,-0.17,63.34,3.72,13.27,55.15,28.3,67.86,4.29,0.4981,-0.0848,0.0071,0.0869,96.35,58.22,60.6,49.62,68.94,1803,192552,93.76,555,523,17.29,200,3429.0,no_action,0,none,0,"Baseline scenario with no planned vegetation patrol, trimming, staging, or inspection.",46.8,Medium,55.32,90114.34,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'no_action' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,0.0,55.32,55.32
SYN-CORR-046__2026-10-04__T10UEV__vegetation_patrol,synthetic,SYN-CORR-046,Synthetic corridor 046,SYN-CORR-046,Synthetic demo corridor 046,2026-10-01,2026-10-28,2026-10-04,T10UEV,43.74,-2.39,-1.28,-5.36,67.07,45.33,26.24,23.4,6.92,71.37,0.26,0.088,0.2579,-0.0894,0.0591,2.81,24.8,17.76,32.4,29.25,2436,290365,3.73,808,256,74.09,200,3453.9,vegetation_patrol,1,low,3,Synthetic scenario: scheduled vegetation patrol along the corridor before a weather window.,33.09,Low,26.64,96081.78,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'vegetation_patrol' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,2.28,26.64,26.03
SYN-CORR-010__2026-09-12__T10UDV__vegetation_trimming,synthetic,SYN-CORR-010,Synthetic corridor 010,SYN-CORR-010,Synthetic demo corridor 010,2026-09-01,2026-09-28,2026-09-12,T10UDV,45.24,28.9,33.86,28.24,40.37,56.07,27.14,62.73,19.48,25.13,7.96,0.1106,0.3451,0.1413,0.0467,71.97,66.66,6.86,27.88,78.41,4510,839628,89.08,2094,1724,36.76,200,4843.2,vegetation_trimming,1,medium,14,Synthetic scenario: vegetation trimming / clearance work along the transmission corridor.,59.59,Medium,65.15,500000.0,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'vegetation_trimming' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,23.43,65.15,49.89
SYN-CORR-014__2026-10-06__T10UEV__crew_pre_staging,synthetic,SYN-CORR-014,Synthetic corridor 014,SYN-CORR-014,Synthetic demo corridor 014,2026-10-01,2026-10-28,2026-10-06,T10UEV,50.8,19.83,23.29,17.3,27.95,84.86,30.48,44.11,36.13,17.14,5.31,0.1122,0.2505,0.1119,0.0233,95.2,66.69,18.69,27.56,55.14,2522,183864,84.59,809,757,22.54,200,1539.1,crew_pre_staging,1,medium,1,Synthetic scenario: pre-staging crews and materials near the corridor ahead of severe weather.,59.5,Medium,65.11,109399.08,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'crew_pre_staging' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,14.16,65.11,55.89
SYN-CORR-012__2026-05-21__T10UEV__asset_inspection,synthetic,SYN-CORR-012,Synthetic corridor 012,SYN-CORR-012,Synthetic demo corridor 012,2026-05-01,2026-05-28,2026-05-21,T10UEV,23.61,10.29,12.43,8.61,19.99,40.3,14.17,13.24,9.21,49.82,1.51,0.6426,0.1764,0.1141,0.081,46.95,24.37,27.95,78.52,16.55,4232,452219,50.92,1579,2107,86.61,200,4463.6,asset_inspection,1,low,7,Synthetic scenario: targeted asset / structure inspection along the corridor.,35.6,Low,35.35,160989.96,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'asset_inspection' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,17.47,35.35,29.17
SYN-CORR-046__2026-05-13__T10UDV__no_action,synthetic,SYN-CORR-046,Synthetic corridor 046,SYN-CORR-046,Synthetic demo corridor 046,2026-05-01,2026-05-28,2026-05-13,T10UDV,59.65,21.71,26.42,19.17,73.54,77.25,35.79,52.84,36.35,76.6,4.72,0.3964,0.2477,0.0045,0.0459,49.99,59.76,19.04,29.28,66.05,1456,144474,27.36,670,379,44.66,200,1080.7,no_action,0,none,0,"Baseline scenario with no planned vegetation patrol, trimming, staging, or inspection.",51.73,Medium,48.43,74736.4,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'no_action' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,0.0,48.43,48.43
SYN-CORR-048__2026-11-26__T10UDV__vegetation_patrol,synthetic,SYN-CORR-048,Synthetic corridor 048,SYN-CORR-048,Synthetic demo corridor 048,2026-11-01,2026-11-28,2026-11-26,T10UDV,26.65,19.63,21.94,16.1,77.87,5.16,15.99,37.44,27.67,20.43,8.72,0.5414,0.3728,0.0976,0.063,29.61,56.75,3.4,58.28,46.8,3378,316547,20.45,1479,1033,32.74,200,4448.3,vegetation_patrol,1,low,3,Synthetic scenario: scheduled vegetation patrol along the corridor before a weather window.,35.05,Low,32.97,110949.72,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'vegetation_patrol' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,4.96,32.97,31.33
SYN-CORR-009__2026-07-08__T10UDV__vegetation_trimming,synthetic,SYN-CORR-009,Synthetic corridor 009,SYN-CORR-009,Synthetic demo corridor 009,2026-07-01,2026-07-28,2026-07-08,T10UDV,23.91,21.56,22.37,20.52,48.09,13.33,14.35,78.22,6.83,20.12,0.02,0.4882,0.0073,0.0574,-0.0208,55.69,69.8,49.09,47.64,97.78,685,117855,15.55,40,248,73.46,200,4830.0,vegetation_trimming,1,medium,14,Synthetic scenario: vegetation trimming / clearance work along the transmission corridor.,40.96,Medium,35.52,48273.41,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'vegetation_trimming' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,25.0,35.52,26.64
SYN-CORR-006__2026-03-13__T10UEV__crew_pre_staging,synthetic,SYN-CORR-006,Synthetic corridor 006,SYN-CORR-006,Synthetic demo corridor 006,2026-03-01,2026-03-28,2026-03-13,T10UEV,28.01,10.74,14.09,6.83,12.6,53.43,16.81,20.89,37.93,6.35,0.8,0.3538,0.4154,-0.0932,-0.0328,69.09,55.53,0.0,20.76,26.11,634,81896,87.8,108,73,26.23,200,2600.2,crew_pre_staging,1,medium,1,Synthetic scenario: pre-staging crews and materials near the corridor ahead of severe weather.,48.05,Medium,55.1,39351.03,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'crew_pre_staging' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,9.6,55.1,49.81
SYN-CORR-020__2026-12-04__T10UEV__asset_inspection,synthetic,SYN-CORR-020,Synthetic corridor 020,SYN-CORR-020,Synthetic demo corridor 020,2026-12-01,2026-12-28,2026-12-04,T10UEV,36.97,24.9,28.96,23.77,25.14,50.69,22.18,38.12,45.83,13.18,1.53,0.4694,0.0525,0.107,0.0203,91.09,69.6,43.44,43.88,47.65,2085,366328,49.49,9,713,56.0,200,3922.8,asset_inspection,1,low,7,Synthetic scenario: targeted asset / structure inspection along the corridor.,51.17,Medium,50.67,187450.04,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'asset_inspection' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,13.68,50.67,43.74
SYN-CORR-006__2026-04-02__T10UDV__no_action,synthetic,SYN-CORR-006,Synthetic corridor 006,SYN-CORR-006,Synthetic demo corridor 006,2026-04-01,2026-04-28,2026-04-02,T10UDV,48.36,19.95,24.23,18.7,40.84,72.38,29.02,41.81,33.36,25.52,7.36,0.5727,0.1068,0.1862,0.0799,71.51,61.83,36.65,64.54,52.26,3530,470887,73.88,470,1411,28.0,200,3232.4,no_action,0,none,0,"Baseline scenario with no planned vegetation patrol, trimming, staging, or inspection.",55.47,Medium,59.6,261201.02,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'no_action' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,0.0,59.6,59.6
SYN-CORR-021__2026-10-28__T10UEV__vegetation_patrol,synthetic,SYN-CORR-021,Synthetic corridor 021,SYN-CORR-021,Synthetic demo corridor 021,2026-10-01,2026-10-28,2026-10-28,T10UEV,31.72,11.28,12.55,7.98,60.59,34.77,19.03,13.63,39.52,8.41,0.21,0.3465,-0.0396,0.1973,-0.0108,97.4,51.51,54.95,19.3,17.04,2863,524718,73.49,937,951,79.48,200,4321.2,vegetation_patrol,1,low,3,Synthetic scenario: scheduled vegetation patrol along the corridor before a weather window.,50.79,Medium,52.76,266504.27,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'vegetation_patrol' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,11.74,52.76,46.57
SYN-CORR-030__2026-02-10__T10UEV__vegetation_trimming,synthetic,SYN-CORR-030,Synthetic corridor 030,SYN-CORR-030,Synthetic demo corridor 030,2026-02-01,2026-02-28,2026-02-10,T10UEV,51.1,15.27,18.21,12.39,26.16,91.48,30.66,5.92,23.6,38.15,7.86,0.3119,0.1812,-0.0555,-0.0231,4.07,30.88,27.35,12.38,7.4,4500,256487,77.3,2122,463,80.2,200,1172.8,vegetation_trimming,1,medium,14,Synthetic scenario: vegetation trimming / clearance work along the transmission corridor.,53.18,Medium,55.45,136399.79,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'vegetation_trimming' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,9.2,55.45,50.35
SYN-CORR-038__2026-01-14__T10UEV__crew_pre_staging,synthetic,SYN-CORR-038,Synthetic corridor 038,SYN-CORR-038,Synthetic demo corridor 038,2026-01-01,2026-01-28,2026-01-14,T10UEV,7.94,6.99,7.41,5.62,17.57,4.45,4.76,53.84,15.2,20.8,9.92,0.7283,0.0916,0.1114,-0.0424,2.64,59.44,38.55,95.66,67.3,3671,465990,30.27,920,823,89.96,200,1272.4,crew_pre_staging,1,medium,1,Synthetic scenario: pre-staging crews and materials near the corridor ahead of severe weather.,36.06,Low,32.5,168035.99,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'crew_pre_staging' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,5.59,32.5,30.68
SYN-CORR-024__2026-02-27__T10UEV__asset_inspection,synthetic,SYN-CORR-024,Synthetic corridor 024,SYN-CORR-024,Synthetic demo corridor 024,2026-02-01,2026-02-28,2026-02-27,T10UEV,36.22,24.6,25.8,20.4,20.71,51.8,21.73,42.92,44.62,60.71,0.79,0.2227,0.3999,-0.052,0.0071,72.16,61.87,0.01,5.46,53.65,4729,848968,55.95,662,1032,12.84,200,1150.6,asset_inspection,1,low,7,Synthetic scenario: targeted asset / structure inspection along the corridor.,45.52,Medium,48.72,386450.23,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'asset_inspection' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,9.02,48.72,44.33
SYN-CORR-043__2026-08-25__T10UEV__no_action,synthetic,SYN-CORR-043,Synthetic corridor 043,SYN-CORR-043,Synthetic demo corridor 043,2026-08-01,2026-08-28,2026-08-25,T10UEV,44.42,12.56,15.79,9.53,46.02,69.03,26.65,38.94,5.91,31.46,4.33,0.711,0.0848,0.0874,0.0165,69.93,42.31,39.4,92.2,48.67,1187,154158,89.83,557,450,59.33,200,4860.1,no_action,0,none,0,"Baseline scenario with no planned vegetation patrol, trimming, staging, or inspection.",54.36,Medium,59.43,83800.29,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'no_action' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,0.0,59.43,59.43
SYN-CORR-001__2026-12-10__T10UEV__vegetation_patrol,synthetic,SYN-CORR-001,Synthetic corridor 001,SYN-CORR-001,Synthetic demo corridor 001,2026-12-01,2026-12-28,2026-12-10,T10UEV,27.11,25.23,30.23,23.48,77.34,0.35,16.27,50.13,8.9,61.2,2.44,0.3853,-0.0328,-0.0198,-0.036,69.3,44.84,54.1,27.06,62.66,2065,352088,25.42,449,84,51.1,200,578.4,vegetation_patrol,1,low,3,Synthetic scenario: scheduled vegetation patrol along the corridor before a weather window.,34.49,Low,32.3,121435.15,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'vegetation_patrol' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,8.93,32.3,29.42
SYN-CORR-020__2026-11-04__T10UEV__vegetation_trimming,synthetic,SYN-CORR-020,Synthetic corridor 020,SYN-CORR-020,Synthetic demo corridor 020,2026-11-01,2026-11-28,2026-11-04,T10UEV,10.2,20.03,20.66,17.97,0.81,10.86,6.12,16.99,5.28,59.91,8.52,0.6562,-0.0563,-0.0265,-0.01,11.16,22.23,57.04,81.24,21.24,1394,275725,50.95,406,564,30.53,200,1730.0,vegetation_trimming,1,medium,14,Synthetic scenario: vegetation trimming / clearance work along the transmission corridor.,23.99,Low,27.71,66146.43,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'vegetation_trimming' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,10.41,27.71,24.83
